epoch,acc,loss,val_acc,val_loss
0,0.2978356336260979,2.9214734247367984,0.49488304093567254,1.229613865427704
1,0.4653387703889586,1.3669880315979273,0.6581867671691792,0.889213374012479
0,0.5580301129234629,1.102436736955248,0.7487468671679198,0.7122269112962231
1,0.6626411543287327,0.8717208536834908,0.8331239530988275,0.5228589388917838
2,0.7158375314861462,0.7490068187641556,0.850607202680067,0.4533691036840979
3,0.7743099121706399,0.6054682294876692,0.9118509212730318,0.32327037954849613
4,0.8183814303638645,0.5043148455236907,0.9556113902847572,0.22484881886073593
5,0.8420969773299748,0.432504724279534,0.9731993299832495,0.16676155601314563
6,0.8740625,0.36206204272806647,0.9875418760469011,0.11545144192487551
7,0.8946788413098237,0.30207095094381714,0.9950918964076859,0.08497433183884362
8,0.9140526976160602,0.248069198883911,0.9956030150753769,0.06949785274377021
9,0.9313048933500627,0.20942297187099793,0.9981155778894473,0.047479894536374204
10,0.9404911838790933,0.184801594455086,0.998534338358459,0.03844822404229112
11,0.9509096612296111,0.15752410731620742,0.9993718592964824,0.027360559356909002
12,0.9612609786700126,0.13042133253820268,0.9995812395309883,0.021727136111626372
13,0.9640840652446675,0.1157440088848248,0.9988484087102177,0.02550974705722963
14,0.972764483627204,0.09785038613308437,0.9997911445279867,0.013097450957200182
15,0.9750627352572145,0.0906070434632086,0.9995812395309883,0.012042397673755036
