epoch,acc,loss,val_acc,val_loss
0,0.4479607147810128,1.6338329344374016,0.603907637661645,1.0422887032638086
1,0.6593916246159602,0.8955666248282247,0.7724375718315746,0.6199485525751971
2,0.7631973809929893,0.6401847793304356,0.8619788945773691,0.39619800842938013
3,0.8338562269813122,0.455986158988629,0.8569482288828338,0.3908841591301054
4,0.88159869050056,0.33287600896284014,0.9029359523560756,0.2692784644809683
5,0.9069703996726232,0.2658997048924815,0.8589489081600669,0.41479208193569145
6,0.9352066566634838,0.17860582903436092,0.9387733779124439,0.1732687399635157
7,0.9476196971845048,0.15230862325754324,0.9015929574512681,0.33813444420378774
8,0.9543036420679307,0.13754459257891738,0.9660432556681643,0.09426504928904737
9,0.9660346473878052,0.09739692151889992,0.9524605579354299,0.13931962340819512
10,0.9721729641249488,0.09178992937892054,0.9706404764392436,0.07808212396923171
11,0.9724184782608696,0.0829530898835915,0.9731712429260113,0.07697312245233709
12,0.9439879485154211,0.1740593904295122,0.8431720823382723,0.5001182809990534
0,0.9877233665257127,0.03965434318660161,0.9995820708389928,0.0031920944271272805
1,0.9937252762323837,0.023953113864988898,0.9997910354194964,0.0023795915446620758
2,0.9950893466102851,0.015035789600194777,1.0,0.0009404247804617992
