epoch,acc,loss,val_acc,val_loss
0,0.5678173419767568,1.3957436855605971,0.7707855804534375,0.58037120940338
1,0.7643381356868967,0.6138289932907843,0.8816420089505469,0.32140424924297717
2,0.8472410982703023,0.4121684422713967,0.9279908298104442,0.19935864756111304
3,0.8935562809924187,0.28305392563667164,0.9173786207446706,0.24931184832914147
4,0.9209239130434783,0.22332295247799028,0.940496040314821,0.15436822261386438
5,0.9431910846634513,0.15442211019317234,0.9733277766201291,0.07348506901646858
6,0.9559543233905686,0.12579909872006403,0.9856190082181141,0.0418804436487275
7,0.969285131958912,0.09317142807795775,0.9804125859554074,0.05663008444480075
8,0.9734982332155477,0.0762766207644038,0.9831214836424255,0.04726170005996444
0,0.3708888285508069,2.654400900026546,0.6596165869627975,0.8892256786336897
1,0.6253057897139516,1.0199047899596165,0.7915190667951075,0.5538066280809734
2,0.7144604513067757,0.7500822572936244,0.848686953319416,0.4174567552756249
3,0.7574069042282281,0.6190796008282429,0.8920608463076707,0.3179511623497828
4,0.8081837961082552,0.4998644846104098,0.918403501670129,0.25303671394737626
5,0.8411253061784484,0.4214336868374527,0.9506147114975697,0.18687048423387131
6,0.8734710523051132,0.34192195634344213,0.9572738645075758,0.1642523572010366
7,0.8919543356926554,0.29538420796977594,0.9811419045634507,0.10024406594810548
8,0.9033704814978286,0.2578223842047064,0.9821837882892269,0.08594006145340771
9,0.91940744793522,0.2237772209573356,0.9937473948471941,0.0593854959366246
10,0.9353085080058914,0.18391417100170962,0.9962492185872057,0.04429025176984739
11,0.9505300355949101,0.14748165520532328,0.9979157982492706,0.03341853694653309
12,0.9524327265597388,0.14077198272912714,0.9962492185872057,0.03275106477590558
13,0.9627514955075686,0.11694366864499481,0.9981242184243435,0.02338411635360143
14,0.9635869565217391,0.10666457928474182,0.9998958116274224,0.015027348228089262
15,0.9703723837999456,0.0910880521504848,0.9996874348822672,0.011730496724863726
16,0.9756661228928766,0.07794772446268988,0.9998957899124635,0.009063569678435442
17,0.9763522696384888,0.07457260416578132,0.9983329860387581,0.014202923405854174
18,0.9808423913043478,0.0654293777866532,0.9995831596498541,0.007905623245683063
